,0
0,0.04612746784175181
1,0.025625220808159432
2,0.05646639917537499
3,0.035558737320060096
4,0.02570476896800722
5,0.04926960330392394
6,0.08935609158862579
7,0.09294678570727177
8,0.07893449084272386
9,0.10203291950113258
10,0.045928238499548746
11,0.06017823702014169
12,0.11602093064900776
13,0.08372893349050525
14,0.09394593741992696
15,0.08303079891202958
16,0.06750477722359471
17,0.05205533327883827
18,0.07908562354910376
19,0.09909355290779331
20,0.05536867331922446
21,0.1039334673952571
22,0.034492671636853656
23,0.02460800039734634
24,0.022765492394609566
25,-0.013864106517098795
26,0.03512471417028362
27,0.0584714391631721
28,0.03666272066945109
29,0.04578236097953836
30,0.058201629850340386
31,0.07872635612818102
32,0.11289486446247454
33,0.05290116063036754
34,0.12364342218973345
35,0.11443134966585178
36,0.0850588296088004
37,0.03180173367851624
38,0.09319801253804405
39,0.12954339594150022
40,0.10581158920244482
41,0.04359619846765661
42,0.027051133426588714
43,0.051884332913813336
44,0.09423746417862755
45,0.06645737202498303
46,0.0884991607637744
47,0.09286423621948536
48,0.09274297506183271
