,0
0,0.03655702289268825
1,0.031699864336069306
2,0.05699118597291597
3,0.01969096656099656
4,0.006549362306396023
5,0.02160724202210973
6,0.07460007583907624
7,0.07970249343606706
8,0.07123630356760524
9,0.10100496260001601
10,0.04055754157828062
11,0.055047114238090944
12,0.10854801889657217
13,0.08390509401139146
14,0.08954861069023135
15,0.07859208830284192
16,0.05725164713108899
17,0.048005463826246375
18,0.07146757235392376
19,0.08039410047162232
20,0.05607453465108758
21,0.10611499911099642
22,0.017097356716140433
23,0.018983639544020492
24,0.01918053516773177
25,-0.03463638624919363
26,0.026975756190478872
27,0.05975880034956049
28,0.02725488193361969
29,0.04699166032655533
30,0.03742508933330457
31,0.06731507747781484
32,0.1068141662125679
33,0.03743474757791054
34,0.08797317875262334
35,0.0910366440614836
36,0.07556101102867985
37,0.007953634772196905
38,0.06430474097275374
39,0.12920452273811944
40,0.10464754575452362
41,0.031086662255014663
42,0.02325379026904517
43,0.035295973571927375
44,0.09029953491753684
45,0.048451688909916246
46,0.061187776400287164
47,0.08154514200409535
48,0.07124169883772724
