,0
0,0.037684405263556986
1,0.01912443166450828
2,0.061261250394461286
3,0.01684491891990436
4,-0.0008249427032762657
5,0.008056912640874825
6,0.07548626696922756
7,0.08860066049549642
8,0.08254997408145925
9,0.10589623270351467
10,0.04022357627384754
11,0.05980562290093816
12,0.10671140976310323
13,0.08637062141433927
14,0.09336226857397023
15,0.08163668944681213
16,0.06228155653836154
17,0.052623978272741345
18,0.0772534508481949
19,0.07711657528728011
20,0.045199020214202856
21,0.1014985124560609
22,0.016725188984723638
23,0.013630720523211681
24,0.01642526520014942
25,-0.03412953159109189
26,0.022593993725068096
27,0.05168268306887447
28,0.018518717595847112
29,0.02528768777857404
30,0.03368925820250279
31,0.06945561406591261
32,0.11158398672730485
33,0.02639608964111151
34,0.09122422656431317
35,0.08920646830622703
36,0.05297208828990141
37,0.003378610502011492
38,0.07232684789998656
39,0.1237536025237842
40,0.10224625285005395
41,0.035681873181678925
42,0.02961347506781553
43,0.02518026753540714
44,0.08518882587217325
45,0.046178830756553935
46,0.061435103374312905
47,0.08082103364229032
48,0.07927500748245242
