,0
0,0.0529320108899165
1,0.04416875123448105
2,0.06446065181139049
3,0.04022181369624833
4,0.03789876272638948
5,0.06477568292641289
6,0.09402446466258874
7,0.09755536738368964
8,0.07715639523096218
9,0.11607538578635412
10,0.06368549278115787
11,0.07113256680847668
12,0.12102831949225756
13,0.08721116385728456
14,0.09386886639722047
15,0.08260076713497766
16,0.07156373170093544
17,0.05666866564400552
18,0.09000412396080804
19,0.09857624588557756
20,0.08558160759871569
21,0.1253821197244005
22,0.04012812942464683
23,0.0348053723531907
24,0.030324470966541783
25,-0.03157951799719183
26,0.04701988742924934
27,0.06125755430148794
28,0.03749126873318376
29,0.046287641036399596
30,0.062329768634294624
31,0.09564860679628062
32,0.12737206980282179
33,0.08495864684557419
34,0.12667416448387425
35,0.12361663616170204
36,0.08954046232006363
37,0.03908754418500915
38,0.10873712849548134
39,0.137912983320864
40,0.1133953973421562
41,0.0683512942270652
42,0.04380930050963783
43,0.05654664346077065
44,0.12071077577569889
45,0.07962780611690323
46,0.09502277466348108
47,0.098606850943869
48,0.11178184298635985
