,0
0,0.5164372943505902
1,0.5110888591565967
2,0.5681862717235492
3,0.5846620059282156
4,0.51804499689571
5,0.6755868701269354
6,0.7310200644489936
7,0.8104091789375749
8,0.7108870400189432
9,0.8503879326136485
10,0.7732286296222493
11,0.7618420309216358
12,0.8510640451296949
13,0.7462598287915377
14,0.7100260501346054
15,0.7456567026476233
16,0.7524831969481455
17,0.6951002945027672
18,0.7214909967566793
19,0.4771437352880634
20,0.8838092401330617
21,0.7690191290846767
22,0.45690544708341785
23,0.4825422474147929
24,0.4642553528519194
25,0.7125663594033887
26,0.4854539269738497
27,0.625705957005628
28,0.6532640892788024
29,0.5336285164072075
30,0.7896751381804433
31,0.5492415319393068
32,0.5686131183606695
33,1.0084658191434857
34,0.5703133153726128
35,0.5520446514158027
36,0.6877306512993642
37,0.5679770496596525
38,0.47542660085972815
39,0.7234969341821389
40,0.7644535509546396
41,0.5834558184583495
42,0.6638348811360572
43,0.47141331498795974
44,1.0134992823091584
45,0.5588659399600312
46,0.48962339545292394
47,0.6415576008536394
48,1.1029233848372955
